1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium_ID,Medium_nev,Partner_ID,Név,Vegtulaj_1_ID,Vegtulaj_1,Vegtulaj_2_ID,Vegtulaj_2,Vegtulaj_3_ID,Vegtulaj_3,Vegtulaj_4_ID,Vegtulaj_4,Vegtulaj_5_ID,Vegtulaj_5,Vegtulaj_6_ID,Vegtulaj_6,Vegtulaj_7_ID,Vegtulaj_7,Vegtulaj_8_ID,Vegtulaj_8,Vegtulaj_9_ID,Vegtulaj_9,Vegtulaj_1_ID,Vegtulaj_1,Vegtulaj_11_ID,Vegtulaj_11,Vegtulaj_12_ID,Vegtulaj_12,Vegtulaj_13_ID,Vegtulaj_13,Vegtulaj_14_ID,Vegtulaj_14,Vegtulaj_15_ID,Vegtulaj_15,Vegtulaj_16_ID,Vegtulaj_16,Vegtulaj_17_ID,Vegtulaj_17,Vegtulaj_18_ID,Vegtulaj_18,Vegtulaj_19_ID,Vegtulaj_19,Vegtulaj_2_ID,Vegtulaj_20,Vegtulaj_21_ID,Vegtulaj_21,Vegtulaj_22_ID,Vegtulaj_22,Vegtulaj_23_ID,Vegtulaj_23,Vegtulaj_24_ID,Vegtulaj_24,Vegtulaj_25_ID,Vegtulaj_25,Vegtulaj_26_ID,Vegtulaj_26,Vegtulaj_27_ID,Vegtulaj_27,Vegtulaj_28_ID,Vegtulaj_28,Vegtulaj_29_ID,Vegtulaj_29,Vegtulaj_3_ID,Vegtulaj_3,Vegtulaj_31_ID,Vegtulaj_31
20121,Rádió 1 Budapest,92443,Rádió 1 Rádióműsort Készítő és Közlő Korlátolt Felelősségű Társaság,1800,Europe Developpement International,2018,JMG Ost Presse Holding AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20053,Gong Rádió,90955,"GONG RÁDIÓ Információs, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",1717,Garaczi János,1569,Gömöri Ferenc,1909,Nyúl István,1549,Ágoston Endre,1575,Kiss Zsolt,1998,Ortelli Tibor,2099,Sallai Mihály József,2096,Puchardt Győző Antal,1203,Tőzsér Judit,1047,Dr. Feldmájer Péter,1856,Borsi Mihály,1912,Pinczés István,1998,Ortelli Tibor,1689,Kovács Zoltán,1600,Seres József,1739,Polyák Zoltán,1745,Terenyi István,1097,Kalmár László,1020,Birizdó Károly,1144,Palásti József,1101,Kecskemét Önkormányzata,2101,STÁDIUM Sikerorientációs Alapítvány,,,,,,,,,,,,,,,,,,
29905,Rádió Bridge,99999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30004,Glossy girls (100xszép),91813,JMG Magazin kiadó Kft.,2070,JMG Magazine Holding AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,168 óra,92851,Telegráf Kiadó Korlátolt Felelősségű Társaság,1385,Bölcs István,1387,Mester Ákos,1075,FOTEX Kft,2001,REORG Gazdasági és Pénzügyi Rt,2002,TRANZINVEST Vagyonkezelő Rt.,2095,Postabank Invest Rt,2098,RÖMED Medizintechnik Handelsgesellschaft mbH,2066,HÍD Kft,1119,Magyar Állam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30107,Tanító,90054,Semic Interprint Nyomdai és Kiadói Kft.,1613,Doktor Ferenc,1614,Doktorné Galambos Ágnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30154,Adó ...,93546,HVG Rt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30279,Autó és stílus,90171,Autó News Kft.,1765,Gáti László,1728,Kárpáti Miklós,1622,Csikós Gábor,1633,Földvári András,1662,Surányi Endre Péter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30280,Autó magazin,91968,MOTOR-PRESSE BUDAPEST Kft.,1737,Motor-Presse International Verlagsgesellschaft Holding mbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30287,Autó-motor,199030,HÍD Rádió Műsorkészítő és Sugárzó Korlátolt Felelősségű Társaság,2065,Héder Barna,2087,Palik László,2046,CROWFIELD Vagyonkezelő és Befektető Részvénytársaság,2061,Fúzió Kft.,1119,Magyar Állam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30311,Otthon,199017,EKH Egyesült Kiadói Holding Korlátolt Felelősségű Társaság,2105,Szilvássy Mihályné,2054,dr. Óvári Győző,1471,Piros Ferenc,2044,Békési Lajos,2031,SETARA Stiftung Alapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30374,A bátonyterenyei napló (Bátonyterenyei hírvivő),999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30389,Békés megyei hírlap,92093,Népújság Korlátolt Felelősségű Társaság Békéscsaba,1965,Ullstein GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30435,Blikk,92518,RINGIER H Kiadó Korlátolt Felelősségű Társaság,1808,Halvidar B.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30464,Borsodi apró,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30470,Bravo,90782,EUROMÉDIA KIADÓ Lapkiadó és Reklámügynökség Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30471,Bravo Girl!,90782,EUROMÉDIA KIADÓ Lapkiadó és Reklámügynökség Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30474,Buci Maci,90782,EUROMÉDIA KIADÓ Lapkiadó és Reklámügynökség Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30477,Budai polgár,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30487,Budapest business journal,199055,New World Publishing Kft.,2102,Stephen a. O'Connor,1878,New World Publishing Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30497,Budapesti piac ,199004,Bp. Piac Rt.,1571,Hegedűsné Bárdos Judit,1605,Szijj György,1611,Vas Zoltán,1570,Hegedüs István,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30547,Chip,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30563,CKM,91813,JMG Magazin Kiadó Korlátolt Felelősségű Társaság,2070,JMG Magazine Holding AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30576,Cosmopolitan,91051,Hearst Erasmus Press Kiadói Korlátolt Felelősségű Társaság,1901,Hearst Enterprises B. V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
