2009,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Medium_ID,Medium_nev,Partner_ID,Név,Vegtulaj_1_ID,Vegtulaj_1,Vegtulaj_2_ID,Vegtulaj_2,Vegtulaj_3_ID,Vegtulaj_3,Vegtulaj_4_ID,Vegtulaj_4,Vegtulaj_5_ID,Vegtulaj_5,Vegtulaj_6_ID,Vegtulaj_6,Vegtulaj_7_ID,Vegtulaj_7,Vegtulaj_8_ID,Vegtulaj_8,Vegtulaj_9_ID,Vegtulaj_9,Vegtulaj_10_ID,Vegtulaj_1,Vegtulaj_11_ID,Vegtulaj_11
10130,Spektrum Home,92968,TV Paprika Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1031,Chellomedia CEE HoldCo B.V.,,,,,,,,,,,,,,,,,,,,
10593,Sport1,90417,Chello Central Europe Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1031,Chellomedia CEE HoldCo B.V.,,,,,,,,,,,,,,,,,,,,
10594,Sport2,90417,Chello Central Europe Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1031,Chellomedia CEE HoldCo B.V.,,,,,,,,,,,,,,,,,,,,
10590,Sport Klub,91168,IKO Kábeltévé Kft.,1391,Rákosi Tamás,1141,Opticorp S.A.,,,,,,,,,,,,,,,,,,
10003,Story 4 (Story TV),92565,Sanoma Digital Media Zrt.,1171,Sanoma Magazines International B. V.,,,,,,,,,,,,,,,,,,,,
10687,TV Paprika,92968,TV Paprika Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1031,CHELLOMEDIA CEE HOLDCO B.V.,,,,,,,,,,,,,,,,,,,,
10697,TV2,92000,MTM-SBS Televízió Zrt.,1175,SBS Broadcasting Europe B.V.,1436,VT2 Media Holding B.V.,1037,Danube Broadcasting B.V.,,,,,,,,,,,,,,,,
10740,Viasat Explore,98204,Viasat Hungária Zrt.,1133,MTG Broadcasting AB,,,,,,,,,,,,,,,,,,,,
10741,Viasat History,98204,Viasat Hungária Zrt.,1133,MTG Broadcasting AB,,,,,,,,,,,,,,,,,,,,
10742,Viasat3,98204,Viasat Hungária Zrt.,1133,MTG Broadcasting AB,,,,,,,,,,,,,,,,,,,,
10700,Viasat6 (TV6),98204,Viasat Hungária Zrt.,1133,MTG Broadcasting AB,,,,,,,,,,,,,,,,,,,,
10747,Vitál TV,90648,"Echo Hungária TV Televíziózási, Kommunikációs és Szolgáltató Zártkörű Részvénytársaság",1417,Széles Gábor,1418,Széles Gáborné,1419,Széles Kinga,1420,Széles Anna,1207,Vasvári Csaba,,,,,,,,,,,,
10748,VIVA (Z+),93152,Z+ Zrt.,1500,Viacom Global ( Netherlands ) B. V.,,,,,,,,,,,,,,,,,,,,
29901,Sláger Rádió,93480,Sláger Rádió Műsorszolgáltató Zrt.,,,,,,,,,,,,,,,,,,,,,,
29902,Danubius Rádió,98208,Danubius Rádió Műsorszolgáltató Zrt.,1585,MEZZAINE MANAGEMENT CENTRAL EUROPE INVESMENT S.A.,1586,Mezzanine Management Bermuda SPV Limited,,,,,,,,,,,,,,,,,,
20020,Class FM,90057,Advenio Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1051,Dr. Nyerges Zsolt,,,,,,,,,,,,,,,,,,,,
20102,Neo FM,90878,FM1 Kommunikációs és Kulturális Zártkörűen Működő Részvénytársaság,1063,econet.hu Informatikai Nyilvánosan Működő Részvénytársaság,,,,,,,,,,,,,,,,,,,,
20096,Kossuth Rádió,91719,Magyar Rádió Zrt.,1121,Magyar Rádió Közalapítvány,,,,,,,,,,,,,,,,,,,,
20097,Petőfi Rádió,91719,Magyar Rádió Zrt.,1121,Magyar Rádió Közalapítvány,,,,,,,,,,,,,,,,,,,,
20098,Bartók Rádió,91719,Magyar Rádió Zrt.,1121,Magyar Rádió Közalapítvány,,,,,,,,,,,,,,,,,,,,
20066,Juventus Rádió,92455,Rádió Juventus Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1356,Metro Radio International LLC.,1355,Juventus Holdings LLC.,,,,,,,,,,,,,,,,,,
20080,Klubrádió,91401,Klubrádió Szolgáltató Zártkörűen Működő Részvénytársaság,1411,Dimberia Ltd.,,,,,,,,,,,,,,,,,,,,
20048,Gazdasági Rádió ,92015,MŰSOR-HANG Műsorszolgáltató Zártkörűen Működő Részvénytársaság,246252,PHYLAXIA 1912. Holding Nyrt.,,,,,,,,,,,,,,,,,,,,
20062,Infó Rádió,91186,Inforádió Műsorszolgáltató Korlátolt Felelősségű Társaság,1324,Whitestone International Ltd.,,,,,,,,,,,,,,,,,,,,
