2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium_ID,Medium_nev,Partner_ID,Név,Vegtulaj_1_ID,Vegtulaj_1,Vegtulaj_2_ID,Vegtulaj_2,Vegtulaj_3_ID,Vegtulaj_3,Vegtulaj_4_ID,Vegtulaj_4,Vegtulaj_5_ID,Vegtulaj_5,Vegtulaj_6_ID,Vegtulaj_6,Vegtulaj_7_ID,Vegtulaj_7,Vegtulaj_8_ID,Vegtulaj_8,Vegtulaj_9_ID,Vegtulaj_9,Vegtulaj_10_ID,Vegtulaj_10,Vegtulaj_11_ID,Vegtulaj_11,Vegtulaj_12_ID,Vegtulaj_12,Vegtulaj_13_ID,Vegtulaj_13,Vegtulaj_14_ID,Vegtulaj_14,Vegtulaj_15_ID,Vegtulaj_15
10003,Story 4 (Story TV),92565,Sanoma Digital Media Zrt.,1494,Borsány-Gyenes András,1171,Sanoma Magazines International B. V.,,,,,,,,,,,,,,,,,,,,,,,,,,
10687,TV Paprika,199066,TV Paprika Zrt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10697,TV2,92000,MTM-SBS Televízió Zrt.,1640,Kereszty Gábor,1625,Dr. Benke Gábor,1175,SBS Broadcasting Europe B.V.,1037,Danube Broadcasting B.V.,,,,,,,,,,,,,,,,,,,,,,
10740,Viasat Explore,98204,Viasat Hungária Zrt.,1133,MTG Broadcasting AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10741,Viasat History,98204,Viasat Hungária Zrt.,1133,MTG Broadcasting AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10742,Viasat3,98204,Viasat Hungária Zrt.,1133,MTG Broadcasting AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10747,Vitál TV,93113,Vital TV Zrt.,1417,Széles Gábor,1418,Széles Gáborné,1419,Széles Kinga,1420,Széles Anna,,,,,,,,,,,,,,,,,,,,,,
10748,VIVA (Z+),93152,Z+ Műsorszolgáltató Rt.,1748,Viva Fernsehen GmbH,1749,Viva Media GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,
19911,Zenit TV,199070,Zenit Televízió Rt.,1669,Zámbó László Sándor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29901,Sláger Rádió,93480,Sláger Rádió Műsorszolgáltató Zrt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29902,Danubius Rádió,98208,Danubius Rádió Műsorszolgáltató Zrt.,1676,Copat Luxembourg S. á. r. l.,1671,Advent Danubius L. P.,1671,Advent Danubius L. P.,,,,,,,,,,,,,,,,,,,,,,,,
20096,Kossuth Rádió,91719,Magyar Rádió Zrt.,1121,Magyar Rádió Közalapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20097,Petőfi Rádió,91719,Magyar Rádió Zrt.,1121,Magyar Rádió Közalapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20098,Bartók Rádió,91719,Magyar Rádió Zrt.,1121,Magyar Rádió Közalapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20066,Juventus Rádió,92455,Rádió Juventus Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1651,Metromedia International Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20080,Klubrádió,91401,Klubrádió Szolgáltató Zártkörűen Működő Részvénytársaság,1413,Arató András,1623,DOGANA Limited,,,,,,,,,,,,,,,,,,,,,,,,,,
20048,Gazdasági Rádió ,199051,MŰSOR-HANG Műsorszolgáltató Korlátolt Felelősségű Társaság,1629,Dr. Nagy Sándorné,1626,Dr. Kármán István,,,,,,,,,,,,,,,,,,,,,,,,,,
20062,Infó Rádió,91186,Inforádió Műsorszolgáltató Korlátolt Felelősségű Társaság,1693,Mundweilné Csőke Éva,1670,Achilles Trading Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,
20121,Rádió 1 Budapest,92443,Rádió 1 Rádióműsort Készítő és Közlő Korlátolt Felelősségű Társaság,1741,Société d'Etudes et de Geston pour le Commerce,1714,Eurozet Sp . z o. o.,1733,Lagardere Active Radio International,,,,,,,,,,,,,,,,,,,,,,,,
20179,Radiocafé 98.6,92461,radiocafé Tömegkommunikációs és Kulturális Szolgáltató Korlátolt Felelősségű Társaság,1715,Földes Gábor,1726,Kádár Tamás,1729,Kelemen Zoltán,,,,,,,,,,,,,,,,,,,,,,,,
20187,Roxy Rádió,92534,Roxy Rádió Műsorszolgáltató Korlátolt Felelősségű Társaság,1585,Mezzaine Management Central Europe Invesment S.A.,1747,Trilux Luxemburg S. a . r. l.,,,,,,,,,,,,,,,,,,,,,,,,,,
20053,Gong Rádió,90955,"GONG RÁDIÓ Információs, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",1717,Garaczi János,1569,Gömöri Ferenc,1739,Polyák Zoltán,1745,Terenyi István,1689,Kovács Zoltán,1549,Ágoston Endre,1575,Kiss Zsolt,1600,Seres József,1642,Kiss Zsoltné,1203,Tőzsér Judit,1047,Dr. Feldmájer Péter,1097,Kalmár László,1020,Birizdó Károly,1144,Palásti József,1101,Kecskemét Önkormányzata
20196,Sztár FM,91092,Híd Rádió Műsorkészítő és Sugárzó Zártkörűen Működő Részvénytársaság,1154,Radio Bridge Media Holding Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30004,Glossy girls (100xszép),90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,1352,Bérczi Zsuzsanna,1347,Dr. Bayer József,1427,Axel Springer Verlag AG,,,,,,,,,,,,,,,,,,,,,,,,
30010,168 óra,92851,Telegráf Kiadó Korlátolt Felelősségű Társaság,1384,Bölcs Dóra,1385,Bölcs István,1679,dr. Szekér Pál Károly,1386,Bölcs Ádám,1618,Bölcs Istvánné Ruszinyák Márta,1387,Mester Ákos,1190,Szilvásy Rudolf,1075,FOTEX Kft,,,,,,,,,,,,,,
30013,3. évezred,92513,RF-HOBBY Lapkiadó Korlátolt Felelősségű Társaság,1146,Petr Simandl,1157,RF-HOBBY s.r.o.,,,,,,,,,,,,,,,,,,,,,,,,,,
30107,Tanító,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30112,A világ ...-b.n,93186,Zöld Újság Tömegkommunikációs és Kiadói Zártkörűen Működő Részvénytársaság,1352,Bérczi Zsuzsanna,1347,Dr. Bayer József,1427,AXEL SPRINGER VERLAG AG,,,,,,,,,,,,,,,,,,,,,,,,
30154,Adó ...,93546,HVG Rt.,1142,Ost Holding GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
