Cég ID,Cégnév,Alakulás dátuma,Bejegyzés dátuma,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
91722,Magyar RTL Televízió Zártkörűen Működő Részvénytársaság,04/08/1997,07/11/1997,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
99037,TV2 Média Csoport Korlátolt Felelősségű Társaság,12/17/2013,12/17/2013,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,I,I,I,I
98662,AMC Networks Central Europe Korlátolt Felelősségű Társaság,12/06/2013,01/31/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
96380,RTL Holding Korlátolt Felelősségű Társaság,12/21/2010,12/29/2010,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
100016,Central Médiacsoport Zártkörűen Működő Részvénytársaság (2015.q2-től),10/30/2014,02/24/2015,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
99425,Mediaworks Hungary Zártkörűen Működő Részvénytársaság,11/26/2013,12/03/2013,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,I,I
97602,Viacom Global Hungary Korlátolt Felelősségű Társaság,05/17/2010,05/19/2010,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
91092,Lapcom Kiadó Zártkörűen Működő Részvénytársaság,11/05/1999,02/03/2000,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,I
92258,Pannon Lapok Társasága Kiadói Korlátolt Felelősségű Társaság,05/11/1992,06/24/1992,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,I,I
92000,MTM-SBS Televízió Zártkörűen Működő Részvénytársaság,07/12/1996,09/23/1996,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,I,I,I,I
91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,09/30/1996,01/24/1997,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,I
90180,Ringier Axel Springer Magyarország Korlátolt Felelősségű Társaság,02/24/1989,08/08/1990,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
90727,JCDecaux Hungary Zártkörűen Működő Részvénytársaság,11/05/2004,01/31/2005,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
98903,Blikk Korlátolt Felelősségű Társaság,04/30/2014,04/01/2014,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
92176,New Wave Media Group Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,07/06/2000,09/01/2000,,,,,,,,,,,,,,,,,,,,,,,,,I,I,I,I,I
93346,"Russmedia Lapkiadó, Információs és Kulturális",11/05/2002,11/19/2002,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,I
92418,Publimont Hirdetésszervező Korlátolt Felelősségű Társaság,05/05/1989,08/30/1989,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,I,I,I,I,I,N,N,N
92564,Media Records Zártkörűen Működő Részvénytársaság,07/20/2001,11/28/2001,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,01/24/1989,02/28/1989,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
99223,Central Digitális Média Korlátolt Felelősségű Társaság,10/30/2014,02/24/2015,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
90057,Advenio Műsorszolgáltató Zártkörűen Működő Részvénytársaság,09/04/2009,09/07/2009,,,,,,,,,,,,,,,,,,,,,N,I,I,I,I,I,N,N,N
92518,Mediaworks Kiadó és Nyomda Korlátolt Felelősségű Társaság,03/01/1993,05/03/1993,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,I,I
96994,Pannon Napilapok Betéti Társaság,10/14/2011,12/20/2011,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,I,I
91112,HírTV Műsorszolgáltató és Hirdetésszervező Zártkörűen Működő Részvénytársaság,06/25/2002,10/08/2002,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,I,I,I,I,I,N,N,N
92565,Digital Media and Communications Közép-európai Kommunikációs Zártkörűen Működő Részvénytársaság,06/28/2005,08/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N
92066,Magyar Idők Kiadó Korlátolt Felelősségű Társaság,06/29/1992,11/30/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,I,I,I
90167,ATV Első Magyar Magántelevíziós Zártkörűen Működő Részvénytársaság,04/01/1998,09/21/1998,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
91813,Marquard Média Magyarország Kiadó Korlátolt Felelősségű Társaság,03/20/1990,07/23/1990,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
98205,AXN Magyaroszág Szolgáltató Korlátolt Felelősségű Társaság,08/08/2003,11/27/2003,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
99392,Modern Media Group Befektetési és Vagyonkezelő Zártkörűen Működő Részvénytársaság,04/09/2015,04/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,I,I,I
