1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium_ID,Medium_nev,Partner_ID,Név,Vegtulaj_1_ID,Vegtulaj_1,Vegtulaj_2_ID,Vegtulaj_2,Vegtulaj_3_ID,Vegtulaj_3,Vegtulaj_4_ID,Vegtulaj_4,Vegtulaj_5_ID,Vegtulaj_5,Vegtulaj_6_ID,Vegtulaj_6,Vegtulaj_7_ID,Vegtulaj_7,Vegtulaj_8_ID,Vegtulaj_8,Vegtulaj_9_ID,Vegtulaj_9,Vegtulaj_10_ID,Vegtulaj_10,Vegtulaj_11_ID,Vegtulaj_11,Vegtulaj_12_ID,Vegtulaj_12,Vegtulaj_13_ID,Vegtulaj_13,Vegtulaj_14_ID,Vegtulaj_14,Vegtulaj_15_ID,Vegtulaj_15,Vegtulaj_16_ID,Vegtulaj_16,Vegtulaj_17_ID,Vegtulaj_17,Vegtulaj_18_ID,Vegtulaj_18,Vegtulaj_19_ID,Vegtulaj_19,Vegtulaj_20_ID,Vegtulaj_20,Vegtulaj_21_ID,Vegtulaj_21
30654,Délmagyarország,199011,"DÉLMAGYARORSZÁG Könyv-, Lapkiadó és Nyomdaipari Korlátolt Felelősségű Társaság",2026,Pálfy Katalin,2008,Balogh Tamás,2011,Chikán Ágnes,2012,Cs. Gát László,2017,Gombos Erzsébet,2019,Kalocsai Katalin,2020,Kovács András,2023,Nyilas Péter,2029,Rafai Gábor,2030,Schmidt Andrea,2035,Szabó Magdolna,2036,Túri József,2032,Sociéte A Responsabilité Limitée Nice Presse Invest,,,,,,,,,,,,,,,,
30658,Délvilág,199011,"DÉLMAGYARORSZÁG Könyv-, Lapkiadó és Nyomdaipari Korlátolt Felelősségű Társaság",2026,Pálfy Katalin,2008,Balogh Tamás,2011,Chikán Ágnes,2012,Cs. Gát László,2017,Gombos Erzsébet,2019,Kalocsai Katalin,2020,Kovács András,2023,Nyilas Péter,2029,Rafai Gábor,2030,Schmidt Andrea,2035,Szabó Magdolna,2036,Túri József,2032,Sociéte A Responsabilité Limitée Nice Presse Invest,,,,,,,,,,,,,,,,
30680,Diéta & fitnesz,199012,DIÉTA Magazin Kiadó és Kulturális Szolgáltató Korlátolt Felelősségű Társaság,1940,Dr. Marosi Csilla Gabriella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30739,Dunaújvárosi hírlap,92258,Pannon Lapok Társasága Kiadói Korlátolt Felelősségű Társaság,1637,K & K Medien und Handels GmbH. & Co. KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30806,Élet és irodalom,91208,Irodalom Lap és Könyvkiadó Kulturális Szolgáltató Korlátolt Felelőségű Társaság,1059,Élet és Irodalom Alapítvány,1724,Journal Art Alapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30863,Érdi újság,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30876,Erzsébetváros,199034,INN-PRESS Lapkiadó Betéti Társaság,1099,Karalyosné Dr. Kiss Beáta,1098,Karalyos József,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30888,Észak-Magyarország,199073,Inform Stúdió Kft.,1968,Funk Verlag und Druckerei GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30909,Europark magazin,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,Dr. Bayer József,1427,Axel Springer Verlag AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30977,Fejér megyei hírlap,92258,Pannon Lapok Társasága Kiadói Korlátolt Felelősségű Társaság,1637,K & K Medien und Handels GmbH. & Co. KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31009,Figyelő (lapcsoport),92564,VNU Budapest Lapkiadó Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31048,Forró drót,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,Dr. Bayer József,1427,Axel Springer Verlag AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31074,Futár,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31206,Hajdú apró,199038,Keleti Hirdető és Szolgáltató Kft.,1988,Inform Stúdió LapkiadóInformációs és Kulturális KFT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31209,Hajdú-bihari napló,199073,Inform Stúdió Kft.,1968,Funk Verlag und Druckerei GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31254,Hatvani hírlap (Hatvani hírek) ,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31331,Heves megyei hírlap,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,Dr. Bayer József,1427,Axel Springer Verlag AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31333,Hevesi apró,199038,Keleti Hirdető és Szolgáltató Kft.,1988,Inform Stúdió LapkiadóInformációs és Kulturális KFT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31426,Horizon,90350,Budapest Magazines Kiadó Korlátolt Felelősségű Társaság,1896,David Kirkby,1892,Alexander Gelsey,1922,Vyvyan Harmsworth,1917,Simor András,1918,Timothy Bender,2010,Charles Hebbert,1908,Neator Holdings Limited,1910,PANSO Ltd.,1923,Where Magazines International,,,,,,,,,,,,,,,,,,,,,,,,
31441,Hölgyvilág,90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,1352,Bérczi Zsuzsanna,1347,Dr. Bayer József,1427,Axel Springer Verlag AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31468,HVG (lapcsoport),93546,HVG Rt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31485,IM,92564,VNU Budapest Lapkiadó Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31517,Irányár,199035,IRÁNYÁR LAPOK Kiadói és Nyomdaipari Korlátolt Felelősségű Társaság,2027,PANNON-PENTA Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31587,Jó tanács,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,Dr. Bayer József,1427,Axel Springer Verlag AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31609,Joy,91813,JMG Magazin Kiadó Korlátolt Felelősségű Társaság,1125,Marquard Media AG,1817,JMG Managerment AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31641,Kapos extra ,91304,Kapos Extra Bt.,1902,Henczer Mária,1915,Schenk János,1924,Zádori Iván,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31698,Keleti apró,199038,Keleti Hirdető és Szolgáltató Kft.,1988,Inform Stúdió LapkiadóInformációs és Kulturális KFT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31700,Kelet-Magyarország,199073,Inform Stúdió Kft.,1968,Funk Verlag und Druckerei GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31751,Kisalföld (lapcsoport),91548,Kisalföld Kiadó Korlátolt Felelősségű Társaság,1710,Daily Mail International Holdings B.V.,1710,Daily Mail International Holdings B.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31754,Kisalföldi gazdaság,91548,Kisalföld Kiadó Korlátolt Felelősségű Társaság,1710,Daily Mail International Holdings B.V.,1710,Daily Mail International Holdings B.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31769,Kiskegyed (lapcsoport),90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,1352,Bérczi Zsuzsanna,1347,Dr. Bayer József,1427,Axel Springer Verlag AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31779,Kismama,90054,SEMIC INTERPRINT Nyomdai és Kiadói Kft.,1613,Doktor Ferenc,1614,Doktorné Galambos Ágnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31808,Komárom-Esztergom megyei 24 óra,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,Dr. Bayer József,1427,Axel Springer Verlag AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31906,Kritika,92090,Népszabadság Kiadó és Nyomdaipari Zártkörűen Működő Részvénytársaság,1973,Bertelsmann Aktiengesellschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31933,Lakáskultúra,90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,1352,Bérczi Zsuzsanna,1347,Dr. Bayer József,1427,Axel Springer Verlag AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32053,Magyar hírlap,92518,Magyar Hírlap Könyv- és Lapkiadó Részvénytársaság,1596,Rotenri Investments B.V.,1808,Halvidar B.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32073,Magyar nemzet,199057,P & B Média Portfóliókezelő Rt.,1119,Magyar Állam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32093,Magyar tőkepiac (Értékpapír és tőzsde),90939,Geomédia Kiadói Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32164,Meglepetés (lapcsoport),92564,VNU Budapest Lapkiadó Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32180,Mérnök újság,91587,LOGOD Kereskedelmi és Szolgáltató B.T.,1603,Szakács Levente,1554,Buday Miklós,1601,Stoics Ágnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32192,Metropol (Metro),91998,MTG Metro Gratis Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,1996,Olof Lönn,1613,Doktor Ferenc,1130,Metro International S. A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32243,Miskolc szuperinfó,199020,FAIR SYSTEM Kiállitásszervező és Ügynöki Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32247,MM műszaki magazin,199069,Vogel Publishing Kiadó Korlátolt Felelősségű Társaság,1770,Ivanov Péter,2006,Vogel International Verlagsgesellschaft mbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32272,Motorrevü,91968,MOTOR-PRESSE BUDAPEST Kft.,1737,Motor-Presse International Verlagsgesellschaft Holding mbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32314,Műértő,93546,HVG Rt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32346,Magyar idők (Napi gazdaság),92066,Napi Gazdaság Kiadó Korlátolt Felelősségű Társaság,1920,Valkó csaba,1743,Süle László Csaba,1555,Dabi Judit,1785,Werner Péter,1746,Tomcsányi Péter,1587,Molnár Gergely,1766,Gáti Tibor,1773,Lovas András,1109,Korányi Tamás,1899,dr. Vékony Péter,1759,Dózsa György,1606,Tallósy István,1557,Dr. Almás Andor,1604,Szenes Gábor,1582,Máriás Judit,1775,Molnár Csaba László,1754,Both Vilmos,1761,Eidenpenz József,1953,Máté Dániel,1958,Potori Károly,1595,Rónai Balázs
32348,Napló,91459,Közép-Dunántúli Napló Kiadói Betéti Társaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32366,Nemzeti sport (lapcsoport),199054,Nemzeti Sport Lap- Könyvkiadó és Szolgáltató Korlátolt Felelősségű Társaság,1596,Rotenri Investments B.V.,1808,Halvidar B.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32375,Népszabadság (lapcsoport),92090,Népszabadság Kiadó és Nyomdaipari Részvénytársaság,1973,Bertelsmann Aktiengesellschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32379,Népszava,199017,EKH Egyesült Kiadói Holding Korlátolt Felelősségű Társaság,2031,SETARA Stiftung Alapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32397,Nógrád megyei hírlap,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,Dr. Bayer József,1427,Axel Springer Verlag AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32409,Nők lapja (lapcsoport),199017,EKH Egyesült Kiadói Holding Korlátolt Felelősségű Társaság,2031,SETARA Stiftung Alapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32439,Nyíregyházi napló,199029,Heti Szó Plusz Kiadó és Szolgáltató Betéti Társaság,1794,Dr. Lányi Botond,1793,Dr. Fekete Antal,1809,Házi Zsuzsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32452,Óbuda ,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32623,Petőfi népe,92324,Petőfi Lap- és Könyvkiadó Korlátolt Felelősségű Társaság,1965,Ullstein GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32627,Piac & Profit,92333,Piac és Profit Kiadó Korlátolt Felelősségű Társaság,1680,dr. Törő András,1993,Merth Judit,1123,Marczisné Szűcs Krisztina,1561,Eller Erzsébet,2013,dr. Bajáky András,2014,dr. Bajákyné Szabó Csilla,1015,Barinkainé Kolossa Katalin,1179,Simon Istvánné,1043,Dobai Attila,1861,Dr. Winkler Mária,2015,Dr. Kopátsy Sándor,1803,Géczi Gábor,1039,Demcsák Lajosné,1562,Eller Pálné,,,,,,,,,,,,,,
32691,Popcorn,91813,JMG Magazin Kiadó Korlátolt Felelősségű Társaság,1125,Marquard Media AG,1817,JMG Managerment AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32895,Somogyi hírlap,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,Dr. Bayer József,1427,Axel Springer Verlag AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32959,Szabad föld,199063,Szabad Föld Lap- és Könyvkiadó Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33160,Társadalombiztosítás ...,93546,HVG Rt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33253,Tolnai népújság,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,Dr. Bayer József,1427,Axel Springer Verlag AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
