,Időszak:,,2011. IV. név,,,,,,,,,,,,
20049,Gazdasági Rádió (100.7),92015,MŰSOR-HANG Műsorszolgáltató Nyilvánosan Működő Részvénytáraság,1503,dr. Móré Attila,246252,PHYLAXIA 1912. Holding Nyrt.,1434,Seres István,1435,Kecskés Lászlóné,,,,
20050,Gazdasági Rádió (95.7),92015,MŰSOR-HANG Műsorszolgáltató Nyilvánosan Működő Részvénytáraság,1503,dr. Móré Attila,246252,PHYLAXIA 1912. Holding Nyrt.,1434,Seres István,1435,Kecskés Lászlóné,,,,
20053,Gong FM (Gong Rádió) (96.5),90955,"GONG RÁDIÓ Információs, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",1020,Birizdó Károly,1144,Palásti József,1097,Kalmár László,1047,dr. Feldmájer Péter,,,,
20062,Infó Rádió (88.1),91186,Inforádió Műsorszolgáltató Korlátolt Felelősségű Társaság,650827,Közép Európai Média és Kiadó Szolgáltató Zrt.,,,,,,,,,,
20066,Sláger FM (Juventus Rádió) (103.9),92455,Rádió Juventus Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1355,Juventus Holdings LLC.,1356,Metro Radio International LLC.,,,,,,,,
20080,Klubrádió (92.9),91401,Klubrádió Szolgáltató Zártkörűen Működő Részvénytársaság,247778,MONOGRÁF Befektetési és Szolgáltató Zrt.,,,,,,,,,,
20090,Lánchíd Rádió (Lánchíd Rádió Budapest) (100.3),91541,Lánchíd Rádió Műsorszolgáltató Korlátolt Felelősségű Társaság,1202,Töröcskei István,885715,Infocenter.hu Média Befektetési Zrt.,,,,,,,,
20095,Parlamenti Rádió (MR 5) (n.a),91719,Magyar Rádió Nonprofit Zártkörűen Működő Részvénytársaság,1111,Közszolgálati Közalapítvány,,,,,,,,,,
20096,Kossuth Rádió (mr1-Kossuth ) (n.a),91719,Magyar Rádió Nonprofit Zártkörűen Működő Részvénytársaság,1111,Közszolgálati Közalapítvány,,,,,,,,,,
20097,Petőfi Rádió (mr2-Petőfi) (n.a),91719,Magyar Rádió Nonprofit Zártkörűen Működő Részvénytársaság,1111,Közszolgálati Közalapítvány,,,,,,,,,,
20098,Bartók Rádió (mr3-Bartók) (n.a),91719,Magyar Rádió Nonprofit Zártkörűen Működő Részvénytársaság,1111,Közszolgálati Közalapítvány,,,,,,,,,,
20101,Sopron Rádió (Nap Rádió ) (94.1),92263,PANNON-SOPRON Regionális TV Műsorgyártó és Szolgáltató Korlátolt Felelősségű Társaság,338290,NCArt Kereskedelmi és Szolgáltató Zrt.,1180,Sopron Önkormányzata,,,,,,,,
20102,Neo FM (),90878,FM1 Kommunikációs és Kulturális Zártkörűen Működő Részvénytársaság,1309,Székely Gábor,1310,Horváth László,,,,,,,,
20121,Rádió 1 (103.9),92443,Rádió 1 Rádióműsort Készítő és Közlő Korlátolt Felelősségű Társaság,1126,Márton Dávid,1525,Erdélyi Krisztián Péter,,,,,,,,
20128,Rádió 1 (94.6),92443,Rádió 1 Rádióműsort Készítő és Közlő Korlátolt Felelősségű Társaság,1126,Márton Dávid,1525,Erdélyi Krisztián Péter,,,,,,,,
20210,Vörösmarty Rádió (99.2),999999,Egyéb üzemeltető,,,,,,,,,,,,
20236,Best FM (Metro FM) (104.6),95732,Kredit Holding Tanácsadó és Szolgáltató Korlátolt Felelősségű Társaság,1112,Krajnyák László,,,,,,,,,,
20237,Nemzetiségi Rádió (MR4) (n.a),91719,Magyar Rádió Nonprofit Zártkörűen Működő Részvénytársaság,1111,Közszolgálati Közalapítvány,,,,,,,,,,
20297,Lánchíd Rádió (96.2),91541,Lánchíd Rádió Műsorszolgáltató Korlátolt Felelősségű Társaság,1202,Töröcskei István,885715,Infocenter.hu Média Befektetési Zrt.,,,,,,,,
20299,Lánchíd Rádió (88.1),91541,Lánchíd Rádió Műsorszolgáltató Korlátolt Felelősségű Társaság,1202,Töröcskei István,885715,Infocenter.hu Média Befektetési Zrt.,,,,,,,,
20301,Lánchíd Rádió (106.6),91541,Lánchíd Rádió Műsorszolgáltató Korlátolt Felelősségű Társaság,1202,Töröcskei István,885715,Infocenter.hu Média Befektetési Zrt.,,,,,,,,
20320,"Rádió M (POP FM 101.6) (101.6, 95.9, 99.5)",96351,Mátra Centrum Sport és Szabadidő Korlátolt Felelősségű Társaság,1044,Dobróka Tamás Mihály,,,,,,,,,,
20330,"Lánchíd Rádió (88.3, 93.4)",91541,Lánchíd Rádió Műsorszolgáltató Korlátolt Felelősségű Társaság,1202,Töröcskei István,885715,Infocenter.hu Média Befektetési Zrt.,,,,,,,,
30004,Glossy girls (100xszép),999999,Egyéb üzemeltető,,,,,,,,,,,,
30010,168 óra,92851,Telegráf Kiadó Korlátolt Felelősségű Társaság,1190,Szilvásy Rudolf,1384,Bölcs Dóra,1385,Bölcs István,1386,Bölcs Ádám,1387,Mester Ákos,1075,FOTEX Kft
30013,3. évezred,92513,RF-HOBBY Lapkiadó Korlátolt Felelősségű Társaság,1157,RF-HOBBY s.r.o.,,,,,,,,,,
30107,Tanító,92645,Sprint Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,1117,Machos Ferenc,1118,Machos Ferencné,,,,,,,,
30112,A világ ...-b.n,92090,Népszabadság Kiadó és Nyomdaipari Zártkörűen Működő Részvénytársaság,1160,Ringier AG,,,,,,,,,,
30154,Adó ...,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1142,Ost Holding GmbH,,,,,,,,,,
30199,Réka Alakreform,92564,Sanoma Media Budapest Zártkörűen Működő Részvénytársaság,1171,Sanoma Magazines Internatinal B. V.,,,,,,,,,,
30222,Álompár,93346,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1093,Inform Media GmbH,,,,,,,,,,
30226,Amelie,90938,Geomédia Kiadói Zártkörűen Működő Részvénytársaság,245748,GEOHOLDING Vállalkozási Zrt.,,,,,,,,,,
30277,Autó bazár,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,,,
30278,Auto Bild Magyarország,90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG,,
30279,Autó és stílus,999999,Egyéb üzemeltető,,,,,,,,,,,,
30280,Autó magazin,92564,Sanoma Media Budapest Zártkörűen Működő Részvénytársaság,1171,Sanoma Magazines Internatinal B. V.,,,,,,,,,,
30287,Autó-motor,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG,,
30311,Otthon,999999,Egyéb üzemeltető,,,,,,,,,,,,
30323,Bács Irányár,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,,,
30327,Bácskai napló,90206,Baja Marketing Bajai Kommunikációs és Marketing Korlátolt Felelősségű Társaság,1013,Baja Önkormányzata,,,,,,,,,,
30374,A bátonyterenyei napló (Bátonyterenyei hírvivő),999999,Egyéb üzemeltető,,,,,,,,,,,,
30389,Békés megyei hírlap,92093,Népújság Korlátolt Felelősségű Társaság Békéscsaba,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1011,Axel Springer Verlag Beteiligungsgesellschaft Gmbh,,
30409,Best magazin,92564,Sanoma Media Budapest Zártkörűen Működő Részvénytársaság,1171,Sanoma Magazines Internatinal B. V.,,,,,,,,,,
30435,Blikk,92518,Ringier Kiadó Korlátolt Felelősségű Társaság,1160,Ringier AG,,,,,,,,,,
30437,Blikk magazin csoport,92518,Ringier Kiadó Korlátolt Felelősségű Társaság,1160,Ringier AG,,,,,,,,,,
30462,Bors,96991,Kurens Press Media Korlátolt Felelősségű Társaság,1080,Gresham FR Limited,,,,,,,,,,
30464,Borsodi apró,93346,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1093,Inform Media GmbH,,,,,,,,,,
30470,Bravo,92518,Ringier Kiadó Korlátolt Felelősségű Társaság,1160,Ringier AG,,,,,,,,,,
30471,Bravo Girl!,92518,Ringier Kiadó Korlátolt Felelősségű Társaság,1160,Ringier AG,,,,,,,,,,
30474,Buci Maci,92518,Ringier Kiadó Korlátolt Felelősségű Társaság,1160,Ringier AG,,,,,,,,,,
30477,Budai polgár,90339,"Budai Polgár Kiadó, Tájékoztató és Kulturális Közhasznú Nonprofit Korlátolt Felelősségű Társaság",1024,Budapest II. kerület Önkormányzata,,,,,,,,,,
30487,Budapest business journal,97116,Absolut Media Zártkörűen Működő Részvénytársaság,1163,ROSARIUM GLOBAL Inc,,,,,,,,,,
30497,Budapesti piac ,92368,POP Print és Online Piac Korlátolt Felelősségű Társaság,1424,Infrom Media GmbH.,,,,,,,,,,
30499,Budapest szuperinfó (lapcsoport),92368,POP Print és Online Piac Korlátolt Felelősségű Társaság,1424,Infrom Media GmbH.,,,,,,,,,,
30506,Business IT plusz ...,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1142,Ost Holding GmbH,,,,,,,,,,
30547,Chip,93140,"MediaCity Magyarország Kiadó, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",1205,Vajdics Enikő,1206,Varga Miklós,1522,dr. Lukács Marianna,,,,,,
30563,CKM,91813,Marquard Média Magyarország Kiadó Korlátolt Felelősségű Társaság,1125,Marquard Media AG,,,,,,,,,,
30576,Cosmopolitan,91051,Hearst Sanoma Budapest Kiadói Korlátolt Felelősségű Társaság,1171,Sanoma Magazines Internatinal B. V.,1085,Hearst Communications Inc.,,,,,,,,
30594,Családi lap,93140,"MediaCity Magyarország Kiadó, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",1205,Vajdics Enikő,1206,Varga Miklós,1522,dr. Lukács Marianna,,,,,,
30617,Csók és könny,90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG,,
30647,Tiszaújváros szuperinfó,96100,"Krekk-Info Reklám, Terjesztési és Szolgáltató Nonprofit Korlátolt Felelősségű Társaság",1424,Infrom Media GmbH.,,,,,,,,,,
30650,Déli apró ,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,,,
30654,Délmagyarország,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,,,
30658,Délvilág,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,,,
30680,Diéta & fitnesz,90938,Geomédia Kiadói Zártkörűen Működő Részvénytársaság,245748,GEOHOLDING Vállalkozási Zrt.,,,,,,,,,,
30681,Digitális fotó,93140,"MediaCity Magyarország Kiadó, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",1205,Vajdics Enikő,1206,Varga Miklós,1522,dr. Lukács Marianna,,,,,,
30739,Dunaújvárosi hírlap,91105,Hírlap Press Kiadói Betéti Társaság,1142,Ost Holding GmbH,,,,,,,,,,
30764,Egészség plusz ...,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1142,Ost Holding GmbH,,,,,,,,,,
30806,Élet és irodalom,91208,Irodalom Lap és Könyvkiadó Kulturális Szolgáltató Korlátolt Felelőségű Társaság,1059,Élet és Irodalom Alapítvány,1060,Élet és Irodalom Baráti Társaság,,,,,,,,
30819,Elle Magyarország,91051,Hearst Sanoma Budapest Kiadói Korlátolt Felelősségű Társaság,1171,Sanoma Magazines Internatinal B. V.,1085,Hearst Communications Inc.,,,,,,,,
30820,Elle man,91051,Hearst Sanoma Budapest Kiadói Korlátolt Felelősségű Társaság,1171,Sanoma Magazines Internatinal B. V.,1085,Hearst Communications Inc.,,,,,,,,
30863,Érdi újság,92881,Théma Lapkiadó Kereskedelmi és Szolgáltatási Korlátolt Felelősségű Társaság,1211,Vitézy Tamás,,,,,,,,,,
30876,Erzsébetváros,90759,Erzsébetvárosi Média Nonprofit Korlátolt Felelősségű Társaság,1026,Budapest VII. kerület Önkormányzata,,,,,,,,,,
30888,Észak-Magyarország,93346,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1093,Inform Media GmbH,,,,,,,,,,
30909,Europark magazin,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG,,
30914,Éva (lapcsoport),91813,Marquard Média Magyarország Kiadó Korlátolt Felelősségű Társaság,1125,Marquard Media AG,,,,,,,,,,
30932,Extra frizura,90938,Geomédia Kiadói Zártkörűen Működő Részvénytársaság,245748,GEOHOLDING Vállalkozási Zrt.,,,,,,,,,,
30956,Fanny (lapcsoport),90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG,,
30972,Fehérvár,90828,Fehérvár Médiacentrum Korlátolt Felelősségű Társaság,1187,Székesfehérvár Önkormányzata,,,,,,,,,,
30973,Fehérvári 7 nap,91798,Maraton Lapcsoport-Multivizió Kiadói Korlátolt Felelősségű Társaság,1142,OST HOLDING GmbH,,,,,,,,,,
30975,Fehérvári tények,92092,Népszava Lapkiadó Korlátolt Felelősségű Társaság,1138,Népszava Szerkesztőség Dolgozóinak Szociális Kulturális és Segélyező Egyesülete,1195,TGD Intermedia SA,,,,,,,,
30977,Fejér megyei hírlap,91105,Hírlap Press Kiadói Betéti Társaság,1142,Ost Holding GmbH,,,,,,,,,,
30986,Kiskunfélegyháza város és körzete szuperinfó,999999,Egyéb üzemeltető,,,,,,,,,,,,
31009,Figyelő (lapcsoport),93140,"MediaCity Magyarország Kiadó, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",1205,Vajdics Enikő,1206,Varga Miklós,1522,dr. Lukács Marianna,,,,,,
31048,Forró drót,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG,,
31107,Geo,90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG,,
31117,Glamour,90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG,,
31143,Kecskeméti grátisz,92324,Petőfi Lap- és Könyvkiadó Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1011,Axel Springer Verlag Beteiligungsgesellschaft Gmbh,,
31195,Parkpress,999999,Egyéb üzemeltető,,,,,,,,,,,,
31206,Hajdú apró,93346,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1093,Inform Media GmbH,,,,,,,,,,
31209,Hajdú-bihari napló,93346,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1093,Inform Media GmbH,,,,,,,,,,
31243,Harvard business review,93186,Zöld Újság Tömegkommunikációs és Kiadói Zártkörűen Működő Részvénytársaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1427,AXEL SPRINGER VERLAG AG,,
31245,Haszon (lapcsoport),91040,Haszon Lapkiadó Korlátolt Felelősségű Társaság,1181,Stipsicz Beteiligungs GmbH,,,,,,,,,,
31247,Haszongép bazár,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,,,
31254,Hatvani hírlap (Hatvani hírek) ,94768,Média-Hatvan Nonprofit Közhasznú Korlátolt Felelősségű Társaság,1084,Hatvan Önkormányzata,,,,,,,,,,
31275,HelloBaby!,999999,Egyéb üzemeltető,,,,,,,,,,,,
31329,Heti válasz,91084,Heti Válasz Lap- és Könyvkiadó Szolgáltató Korlátolt Felelősségű Társaság,885715,Infocenter.hu Média Befektetési Zrt.,,,,,,,,,,
31331,Heves megyei hírlap,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG,,
31333,Hevesi apró,93346,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1093,Inform Media GmbH,,,,,,,,,,
31340,Hídlap,90772,EHÍR Esztergomi Hirdető Korlátolt Felelősségű Társaság,1429,Esztergom Önkormányzata,,,,,,,,,,
