Medium_ID,Medium_nev,Médiatípus,Hír=1; nem hír=0
31700,Kelet-Magyarország,sajtó,1
31737,Kétheti Rtv műsor magazin,sajtó,0
31751,Kisalföld (lapcsoport),sajtó,1
31754,Kisalföldi gazdaság,sajtó,1
31769,Kiskegyed (lapcsoport),sajtó,0
31779,Kismama,sajtó,0
31793,Kisváros grátisz,sajtó,0
31808,Komárom-Esztergom megyei 24 óra,sajtó,1
31906,Kritika,sajtó,1
31933,Lakáskultúra,sajtó,0
31941,Presztízs top 100,sajtó,1
31947,Látkép,sajtó,0
31948,Látkép extra,sajtó,0
32011,Luxury Budapest,sajtó,0
32012,Luxury ingatlan,sajtó,0
32053,Magyar hírlap,sajtó,1
32071,Magyar narancs,sajtó,1
32073,Magyar nemzet,sajtó,1
32093,Magyar tőkepiac (Értékpapír és tőzsde),sajtó,0
32107,Mai belváros ,sajtó,1
32113,Makói hirdető ,sajtó,0
32117,Manager magazin,sajtó,0
32123,Marie Claire,sajtó,0
32141,Maxima,sajtó,0
32164,Meglepetés (lapcsoport),sajtó,0
32180,Mérnök újság,sajtó,0
32192,Metropol (Metro),sajtó,1
32211,Miskolci napló (MiNap),sajtó,1
32214,Moha,sajtó,0
32215,Mindmegette magazin,sajtó,0
32226,Minimax magazin,sajtó,0
32231,Miskolc info,sajtó,1
32235,Miskolci erő ,sajtó,1
32243,Miskolc szuperinfó,sajtó,0
32247,MM műszaki magazin,sajtó,0
32272,Motorrevü,sajtó,0
32314,Műértő,sajtó,0
32345,Színes ász (Napi ász),sajtó,1
32346,Magyar idők (Napi gazdaság),sajtó,1
32347,Napi ingatlan,sajtó,0
32348,Napló,sajtó,1
32353,National geographic Magyarország,sajtó,0
32366,Nemzeti sport (lapcsoport),sajtó,0
32375,Népszabadság (lapcsoport),sajtó,1
32379,Népszava,sajtó,1
32397,Nógrád megyei hírlap,sajtó,1
32409,Nők lapja (lapcsoport),sajtó,0
32439,Nyíregyházi napló,sajtó,1
32452,Óbuda ,sajtó,1
32460,Campus plusz,sajtó,0
32503,Óvodai nevelés,sajtó,0
32506,Öko plusz ...,sajtó,0
32588,Pécsi hírek,sajtó,1
32612,Pest megyei újság,sajtó,1
32623,Petőfi népe,sajtó,1
32627,Piac & Profit,sajtó,0
32645,Playboy,sajtó,0
32691,Popcorn,sajtó,0
32707,Prémium (lapcsoport),sajtó,0
32708,Prémium autó plusz,sajtó,0
32785,Rejtvény terefere (lapcsoport),sajtó,0
32817,Rtv tipp ,sajtó,0
32827,Sárga rtv,sajtó,0
32836,Saturn magazin ,sajtó,0
32851,Shape,sajtó,0
32895,Somogyi hírlap,sajtó,1
32898,Soproni építész,sajtó,0
32911,Sport & Style,sajtó,0
32935,Story,sajtó,0
32959,Szabad föld,sajtó,1
32984,"Számvitel, adó, könyvvizsgálat",sajtó,0
33013,Szegedi tükör,sajtó,1
33037,Szentesi hirdető ,sajtó,0
33071,Színes kéthetes,sajtó,0
33072,Színes rtv,sajtó,0
33074,Színes infó ,sajtó,0
33160,Társadalombiztosítás ...,sajtó,0
33192,Tempó,sajtó,0
33196,Terefere party (Terefere),sajtó,0
33228,Tina konyha,sajtó,0
33253,Tolnai népújság,sajtó,1
33297,TV kéthetes,sajtó,0
33300,Tv revü,sajtó,0
33301,TVR újság,sajtó,0
33302,Tvr-hét,sajtó,0
33314,Új Dunántúli napló,sajtó,1
33340,Új Néplap,sajtó,1
33344,Újbuda ,sajtó,1
33349,Újpesti napló ,sajtó,1
33358,Utazás plusz ...,sajtó,0
33366,Ügyes (lapcsoport),sajtó,0
33382,Üzleti 7,sajtó,1
33405,Életképek (Városházi napló),sajtó,1
33417,Vas népe,sajtó,1
33424,Vasárnapi észak,sajtó,1
33427,Vasárnapi hírek,sajtó,1
33428,Vasárnapi kelet,sajtó,1
33430,Vasárnapi napló,sajtó,1
33477,Veszprémi 7 nap,sajtó,1
33493,Vidék íze,sajtó,0
33499,Világgazdaság,sajtó,0
33513,Vital magazin,sajtó,0
33515,Vitorlázás magazin,sajtó,0
33536,Wellness,sajtó,0
33543,XIII. kerületi hírnök ,sajtó,1
33546,Yacht magazin,sajtó,0
33560,Zalai hírlap,sajtó,1
33570,Zemplén szuperinfó,sajtó,0
33591,Zsaru,sajtó,0
33616,Fitt mama,sajtó,0
33620,Helyi téma (lapcsoport) ,sajtó,0
33621,Itthon (lapcsoport) ,sajtó,0
33626,A 100 leggazdagabb,sajtó,0
33636,Szuperinfó (lapcsoport) ,sajtó,0
33637,Value,sajtó,0
33748,Befektetés plusz …,sajtó,0
33835,Szeged infó (Délmagyarország programpont) ,sajtó,0
33836,Délvilág programpont ,sajtó,0
33852,Béres egészség,sajtó,0
33867,Energia magazin,sajtó,0
33894,Exclusive Playboy,sajtó,0
33905,Pecavilág,sajtó,0
33941,Gyöngyösi újság (Gyöngyösi mozaik),sajtó,1
34178,Mátraalja,sajtó,1
34188,Mercedes-Benz magazin,sajtó,0
34353,Portfolio ingatlan magazin (Resource),sajtó,0
34430,Szuflé,sajtó,0
34489,Trend magazin csak férfiaknak ,sajtó,0
34490,Trend magazin csak nőknek ,sajtó,0
34589,Lifestyle plusz …,sajtó,0
34592,Népszabadság Top-kiadványok,sajtó,0
34597,Grátisz (lapcsoport) ,sajtó,0
34601,Tipp (lapcsoport) ,sajtó,0
34623,Bor & pálinka plusz,sajtó,0
34673,"Top 50, 100 (lapcsoport)",sajtó,0
34688,Délmagyarország Breki,sajtó,0
34814,Budapesti újság city,sajtó,1
34831,Eszes (lapcsoport),sajtó,0
34956,Rouge,sajtó,0
34974,Szegedi hirdető ,sajtó,0
35182,E.ON világ ,sajtó,0
35249,Korzó magazin ,sajtó,0
35270,N+ kókusz,sajtó,0
35319,Termosz ,sajtó,0
35563,Magyar bazár (lapcsoport) ,sajtó,0
35632,Hajdúszoboszló szuperinfó,sajtó,0
35672,Maraton Lapcsoport (lapcsoport) ,sajtó,0
35707,Aréna magazin,sajtó,0
35708,Top 100 + (lapcsoport),sajtó,1
35710,Gáz.áram ,sajtó,0
35711,Fine restaurants,sajtó,0
35714,Business who is who,sajtó,0
35715,Contemporary art in Hungary,sajtó,0
35968,Győr+ hetilap,sajtó,1
35972,Gasztro magazin ,sajtó,0
35973,Diploma …,sajtó,0
36084,Vasárnap reggel (lapcsoport) ,sajtó,1
36209,Debreceni szuperinfó ,sajtó,0
36222,Hajdúsági szuperinfó ,sajtó,0
36273,Szeged körzeti szuperinfó,sajtó,0
36598,Asztrológiai előrejelzés,sajtó,0
36648,Nyugat-balatoni szuperinfó ,sajtó,0
36675,Siófoki szuperinfó,sajtó,0
36810,Városunk Salgótarján grátisz,sajtó,1
36987,Vác és vonzáskörzete szuperinfó,sajtó,0
36989,Szabolcs-Szatmár-Bereg megyei szuperinfó ,sajtó,0
37031,Pontyvilág,sajtó,0
37036,Régiópress ,sajtó,0
37177,Voice,sajtó,0
37241,50 követendő példa a sikerre,sajtó,0
37393,Kecskemét szuperinfó,sajtó,0
37489,Ház magazin ,sajtó,0
37611,Rába magazin ,sajtó,0
38676,Grabo cégtükör ,sajtó,0
39901,Békés Megyei Nap,sajtó,1
39902,Budapesti Reggel,sajtó,1
39903,Cash-Flow,sajtó,1
39904,Déli Hírlap,sajtó,1
39905,Friss újság,sajtó,1
39906,Komárom-Esztergom megyei Hírlap,sajtó,1
39907,Napi ász,sajtó,1
39908,Napi Magyarország,sajtó,1
39909,Reggel,sajtó,1
32966,Szabadság,sajtó,1
39910,Új estidőben,sajtó,1
36691,Zalaegerszegi 7 nap,sajtó,1
32035,Magyar Demokrata,sajtó,1
39911,Ez a hét,sajtó,1
32047,Magyar Fórum,sajtó,1
39912,Új Demokrata,sajtó,1
