2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium_ID,Medium_nev,Partner_ID,Név,Vegtulaj_1_ID,Vegtulaj_1,Vegtulaj_2_ID,Vegtulaj_2,Vegtulaj_3_ID,Vegtulaj_3,Vegtulaj_4_ID,Vegtulaj_4,Vegtulaj_5_ID,Vegtulaj_5,Vegtulaj_6_ID,Vegtulaj_6,Vegtulaj_7_ID,Vegtulaj_7,Vegtulaj_8_ID,Vegtulaj_8,Vegtulaj_9_ID,Vegtulaj_9,Vegtulaj_10_ID,Vegtulaj_10,Vegtulaj_11_ID,Vegtulaj_11,Vegtulaj_12_ID,Vegtulaj_12,Vegtulaj_13_ID,Vegtulaj_13,Vegtulaj_14_ID,Vegtulaj_14,Vegtulaj_15_ID,Vegtulaj_15,Vegtulaj_16_ID,Vegtulaj_16,Vegtulaj_17_ID,Vegtulaj_17,Vegtulaj_18_ID,Vegtulaj_18,Vegtulaj_19_ID,Vegtulaj_19,Vegtulaj_20_ID,Vegtulaj_20,Vegtulaj_21_ID,Vegtulaj_21
10020,Animal Planet,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10416,ATV,90167,Agro TV-ATV Zrt.,1857,Czikó Gábor,1776,Nagy Lin,1786,Woodham Enterprise Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19902,Budapest TV,199015,dr. Bródy Péter,199015,dr. Bródy Péter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10142,Discovery Channel,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10155,Duna,90621,Duna Televízió Rt.,1090,Hungária Televízió Közalapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10235,Film Mánia,199023,Filmmúzeum Rt.,1825,Krasznai János,1824,Konrády Zoltán,1873,Krasznai Jánosné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10249,Fix,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,Főnix TV,92254,PANNON BROADCAST Televízió Kolrátolt Felelősségű Társaság,1598,Sebeő Ágnes,1705,Blastik Noémi Judit,1711,Dr. Kékesi Attila,1553,Blastik Ferenc Tamás,1732,Kovács Zsuzsanna,1904,Kozma Pál,1752,Wiegmann Alfréd,1751,Vollner Judit,,,,,,,,,,,,,,,,,,,,,,,,,,
10273,Hálózat TV,91029,Hálózatos Televíziók Rt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10297,Hír Tv,91112,Hír Televízió Rt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10412,M1,91738,Magyar Televízió Rt.,1111,Magyar Televízió Közalapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10414,M2,91738,Magyar Televízió Rt.,1111,Magyar Televízió Közalapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434,Minimax,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10512,Pax TV,92287,Pax TV Rt.,1071,Ferenczy Károly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10556,RTL Klub,91722,M-RTL Rt,1879,PEARSON ASIA PACIFIC LIMITED,1880,RAIFFEISEN OST INVEST UNTERNEHMENBETEILIGUNG GMBH,1032,CLT UFA S. A,1863,GRUNDY INTERNATIONAL HOLDINGS NO 1 B. V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10588,Spektrum TV,199060,Spektrum-TV Rt,1742,SPE Hungary Investments Inc.,1890,TWE Hungary Holding LLC,1675,BVI Television (Central Europe) Inc.,1768,Hungary Programming Company LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10593,Sport1,199061,Sport1 TV Rt.,1352,Bérczi Zsuzsanna,1347,Dr. Bayer József,1884,Telekábel Hungary N.V.,1865,KÁBELKOM HOLDING Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10697,TV2,92000,MTM-SBS Televízió Rt.,1830,MTM Kommunikációs Rt.,1839,SBS Broadcasting S. A.,1839,SBS Broadcasting S. A.,1845,Tele-München Fernseh GmbH & Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10742,Viasat3,98204,Viasat Hungária Rt,1760,dr. Pártos Ferenc György,1780,Sótonyi József,1133,MTG Broadcasting AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10748,VIVA (Z+),93152,Z+ Műsorszolgáltató Rt.,1748,Viva Fernsehen GmbH,1784,VIVA Media AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19911,Zenit TV,199070,Zenit Televízió Rt.,1669,Zámbó László Sándor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29901,Sláger Rádió,93480,Sláger Rádió Műsorszolgáltató Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29902,Danubius Rádió,98208,Országos Kereskedelmi Rádió Rt.,1921,Veres Tibor,1900,GWR RADIO (HUNGARY) LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20096,Kossuth Rádió,91719,Magyar Rádió Részvénytársaság,1121,Magyar Rádió Közalapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20097,Petőfi Rádió,91719,Magyar Rádió Részvénytársaság,1121,Magyar Rádió Közalapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20098,Bartók Rádió,91719,Magyar Rádió Részvénytársaság,1121,Magyar Rádió Közalapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20066,Juventus Rádió,92455,Rádió Juventus Műsorszolgáltató Részvénytársaság,1651,Metromedia International Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20080,Klubrádió,199040,Klubrádió Szolgáltató Korlátolt Felelősségű Társaság,247778,MONOGRÁF Befektetési és Szolgáltató Rt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20062,Infó Rádió,91186,Inforádió Műsorszolgáltató Korlátolt Felelősségű Társaság,1829,Mészáros László,1810,Heltai Péter András,1693,Mundweilné Csőke Éva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20121,Rádió 1 Budapest,92443,Rádió 1 Rádióműsort Készítő és Közlő Korlátolt Felelősségű Társaság,1741,Société d'Etudes et de Geston pour le Commerce,1800,Europe Developpement International,1714,Eurozet Sp . z o. o.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29904,Radio Deejay,199014,Rádió Deejay Műsorszolgáltató Korlátolt Felelősségű Társaság,1762,Elemedia SPA,1762,Elemedia SPA,1763,ELETV SPA,1763,ELETV SPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20187,Roxy Rádió,92534,Euroinvest Kommunikácios Korlátolt Felelősségű Társaság,1921,Veres Tibor,1914,Rókusfalvy Pál László,1896,David Kirkby,1913,Radiotrust Plc.,1897,DMG Radio (Hungary) Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20053,Gong Rádió,90955,"GONG RÁDIÓ Információs, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",1717,Garaczi János,1569,Gömöri Ferenc,1745,Terenyi István,1909,Nyúl István,1549,Ágoston Endre,1575,Kiss Zsolt,1600,Seres József,1642,Kiss Zsoltné,1203,Tőzsér Judit,1047,Dr. Feldmájer Péter,1856,Borsi Mihály,1912,Pinczés István,1689,Kovács Zoltán,1739,Polyák Zoltán,1097,Kalmár László,1020,Birizdó Károly,1144,Palásti József,1101,Kecskemét Önkormányzata,,,,,,
20196,Sztár FM,91092,Híd Rádió Műsorkészítő és Sugárzó Részvénytársaság,1799,Elliott Associates L. P.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29905,Rádió Bridge,91092,Híd Rádió Műsorkészítő és Sugárzó Részvénytársaság,1799,Elliott Associates L. P.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29906,Est FM 98.6 - Pestiestrádió,92461,EST RÁDIÓ Tömegkommunikációs és Kultúrális Szolgáltató Korlátolt Felelősségű Társaság,1868,Komáromy Nóra,1715,Földes Gábor,1726,Kádár Tamás,1787,Alpári László,1882,Száday Balázs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30004,Glossy girls (100xszép),90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,1352,Bérczi Zsuzsanna,1347,Dr. Bayer József,1427,Axel Springer Verlag AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,168 óra,92851,Telegráf Kiadó Korlátolt Felelősségű Társaság,1384,Bölcs Dóra,1385,Bölcs István,1679,dr. Szekér Pál Károly,1386,Bölcs Ádám,1618,Bölcs Istvánné Ruszinyák Márta,1387,Mester Ákos,1190,Szilvásy Rudolf,1075,FOTEX Kft,,,,,,,,,,,,,,,,,,,,,,,,,,
30107,Tanító,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30154,Adó ...,93546,HVG Rt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
