Cég ID,Cégnév,Nettó árbevétel 1998 (Ezer Ft),Adózott eredmény 1998 (Ezer Ft),Üzemi eredmény 1998 (Ezer Ft),Nettó árbevétel 1999 (Ezer Ft),Adózott eredmény 1999 (Ezer Ft),Üzemi eredmény 1999 (Ezer Ft),Nettó árbevétel 2000 (Ezer Ft),Adózott eredmény 2000 (Ezer Ft),Üzemi eredmény 2000 (Ezer Ft),Nettó árbevétel 2001 (Ezer Ft),Adózott eredmény 2001 (Ezer Ft),Üzemi eredmény 2001 (Ezer Ft),Nettó árbevétel 2002 (Ezer Ft),Adózott eredmény 2002 (Ezer Ft),Üzemi eredmény 2002 (Ezer Ft),Nettó árbevétel 2003 (Ezer Ft),Adózott eredmény 2003 (Ezer Ft),Üzemi eredmény 2003 (Ezer Ft),Nettó árbevétel 2004 (Ezer Ft),Adózott eredmény 2004 (Ezer Ft),Üzemi eredmény 2004 (Ezer Ft),Nettó árbevétel 2005 (Ezer Ft),Adózott eredmény 2005 (Ezer Ft),Üzemi eredmény 2005 (Ezer Ft),Nettó árbevétel 2006 (Ezer Ft),Adózott eredmény 2006 (Ezer Ft),Üzemi eredmény 2006 (Ezer Ft),Nettó árbevétel 2007 (Ezer Ft),Adózott eredmény 2007 (Ezer Ft),Üzemi eredmény 2007 (Ezer Ft),Nettó árbevétel 2008 (Ezer Ft),Adózott eredmény 2008 (Ezer Ft),Üzemi eredmény 2008 (Ezer Ft),Nettó árbevétel 2009 (Ezer Ft),Adózott eredmény 2009 (Ezer Ft),Üzemi eredmény 2009 (Ezer Ft)
90417,Chello Central Europe Műsorszolgáltató Zártkörűen Működő Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,,,,0,-80,-150,0,-82490,-22813,3408745,-1861461,-670542,10760889,-8849646,-7517873
90439,COMEDY CENTRAL MAGYARORSZÁG Zártkörűen Működő Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45478,-173189,168664,531196,-112976,-73398
199009,CSONGRÁD MEGYEI PIACZ Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,119808,17336,29020,147823,27430,40257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199010,Déli Hírlap Korlátolt Felelősségű Társaság,,,,405092,4838,2221,369490,-19947,-23613,285249,-43887,-39317,0,0,0,,,,,,,,,,,,,,,,,,,,,
199011,"DÉLMAGYARORSZÁG Könyv-, Lapkiadó és Nyomdaipari Korlátolt Felelősségű Társaság",,,,1342205,123074,135545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199012,DIÉTA Magazin Kiadó és Kulturális Szolgáltató Korlátolt Felelősségű Társaság,54610,558,639,,,,,,,96788,6911,-14384,6391,-7914,7860,11027,1901,1865,,,,,,,,,,,,,,,,,,
199013,DIGITÁLFOTÓ Lapkiadó és Kereskedelmi Korlátolt Felelősségű Társaság,,,,,,,,,,,,,40297,567,571,83892,13737,13358,83790,653,698,79458,-2432,-2414,76060,-14793,-14832,84497,-15130,-14622,47898,-9736,-9416,,,
98206,Discovery Hungary Média Szolgáltató Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,11061,452,502,568828,33730,53680,439826,28193,48725,344856,75375,89929
199014,DL-AMS Média Korlátolt Felelősségű Társaság,,,,69670,-227385,-195225,,,,,,,104999,-215152,-222663,92506,-321900,-313556,102277,-283213,-287556,105451,-258111,-258867,,,,,,,,,,0,2095,-248
90598,Domino TV Műsorszolgáltató Zártkörűen Működő Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,,,,120,12,18,8432,299,786,12599,532,1601,46373,1035,2628
199016,DUNA MÉDIA Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,22935,2428,3178,90819,-5780,-6103,,,,,,,,,
90621,Duna Televízió Rt.,,,,275096,-220114,-230333,310104,-121623,-155286,342137,-593586,-610392,295207,197871,147839,417602,-26921,-128228,517964,-518034,-701356,488396,15635,-194318,445978,29865,-284744,491444,-392939,-600642,643662,9999,-106043,652401,-232781,-238024
90648,"Echo Hungária TV Televíziózási, Kommunikációs és Szolgáltató Rt.",,,,,,,,,,,,,,,,,,,,,,4518,-313099,-320236,343137,-731677,-730777,473523,-622162,-621699,556996,-653181,-600505,658303,-532893,-520026
90653,Editorial Vagyonkezelő és Tanácsadó Korlátolt Felelősségű Társaság,,,,,,,,,,,,,58,-2152,-2153,244089,1881,5941,602963,934,1395,829220,819,1802,932766,1992,-26186,957176,-129356,-133309,53013,-107338,-107091,188442,170379,-17624
90772,EHÍR Esztergomi Hirdető Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,0,-17,-20,15195,-2073,-2231,113501,-23881,-23522,200190,-19680,-21144
199017,EKH Egyesült Kiadói Holding Korlátolt Felelősségű Társaság,6050336,1123599,,6842855,-251288,195049,6469033,-1812286,208244,,,,,,,,,,,,,,,,,,,,,,,,,,,
199018,Erasmus Press Kiadói Korlátolt Felelősségű Társaság,,,,136324,163410,47840,80732,165964,13962,2345,195013,238367,0,-5968,-6235,0,48328,-2645,0,52284,-1970,0,8500,7291,0,67010,523,,,,,,,,,
92461,EST RÁDIÓ Tömegkommunikációs és Kultúrális Szolgáltató Korlátolt Felelősségű Társaság,,,,0,0,-6,,,,111620,-71996,-70812,47090,-81340,-80467,0,20079,20252,0,0,-36328,367610,78319,78327,382538,28210,35046,467539,29724,28131,518827,40438,44609,208408,-104121,-101524
92534,Euroinvest Kommunikácios Korlátolt Felelősségű Társaság,5042,-4058,-4061,,,,371718,-135387,-114104,,,,293373,-48792,-43403,273599,-101350,-89546,253941,-106997,-106591,115488,-163662,-163674,120385,-98779,-98925,90140,-42619,-42626,91785,72115,-35206,143657,-4178,-6327
90782,EUROMÉDIA KIADÓ Lapkiadó és Reklámügynökség Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,94812,886,939,233624,-2730,-3005,234958,270,608,198505,-43168,-43077
199019,EURO-PEGAZUS HUNGARY Kereskedelmi és Szolgáltató Kft.,44945,129296,-47327,27686,-2730,-5479,36505,-12460,20990,2551,-17291,-23411,43332,-7746,-12695,6200,1788,1258,24869,-30278,-29875,34390,-21308,-12493,10793,-16874,-14744,284,-5320,-3771,9643,-8643,-4081,16076,-1708,-1639
90804,Expressz Magyarország Zrt.,,,,,,,,,,11294,-424366,-404009,3953215,-819651,-821449,8210438,158105,305769,8113565,145618,38974,8002843,-422943,-617329,7765520,-544628,-810846,7105342,318486,-17321,5290592,-78551,-415166,2528354,245882,-573623
199020,FAIR SYSTEM Kiállitásszervező és Ügynöki Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199021,Fejér Megyei Hírlap Kiadó Korlátolt Felelősségű Társaság,,,,678622,29464,36499,,,,,,,913807,81877,100315,911995,75930,92506,971589,103834,122743,938372,71869,84095,940140,94443,111933,976567,62428,75330,961836,16003,17741,691816,-74891,-73157
199022,Figyelő Kiadói Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90866,Filmmúzeum Műsorszolgáltató Zártkörűen Működő Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-31428,-10066,188659,-1006881,-837007
199023,Filmmúzeum Rt.,,,,,,,10000,-43003,-43016,,,,340854,40556,66321,522434,156723,143739,625055,178780,192930,746823,243168,262777,742113,111567,101213,744020,175304,175179,551069,242296,220321,,,
90878,FM1 Kommunikációs és Kulturális Zártkörűen Működő Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73971,-76780,-74444
199024,FRENK Reklám és Kiadó Korlátolt Felelősségű Társaság,,,,,,,259253,5798,8131,358384,25428,31168,412984,17068,21121,404840,42065,47631,408467,39394,44848,207647,10426,8293,158487,7340,4598,272568,-60190,-63775,77881,-18532,-20104,71802,-3787,-3162
98178,Geo Sales & Promo Korlátolt Felelősségű Társaság,,,,,,,,,,,,,14090,287,249,9667,459,538,9842,-2878,-2878,5043,-1304,-1274,6643,-5037,-4810,0,-390,-305,0,-122,-160,28332,270,722
199025,GEOHOLDING Vállalkozási Részvénytársaság,,,,199893,-24437,-1454,200531,81721,-79697,334393,-38551,-13187,311746,18343,23907,373734,-46017,66936,455477,85683,90287,465361,103869,131727,563104,118946,357565,235592,-4365,-24334,121885,-195749,-71303,205839,43746,30139
90939,Geomédia Kiadói Részvénytársaság,,,,1311770,9703,-18322,1380295,-39324,-14544,1137608,-9136,-25430,1269018,826198,949912,887547,2999,-11183,1018032,33184,21699,1033688,9586,3801,822742,312786,354707,289714,-49200,-58281,214179,-38535,-36419,153745,-753,2062
90938,Geomédia Kiadói Zártkörűen Működő Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,1533833,9760,56043,1852430,238832,141809,1862297,98965,115728
199026,GLÓBUSZ INFÓ Utazási Iroda Korlátolt Felelősségű Társaság Kft.,,,,50175,-8117,-7803,206186,10252,11330,234367,5135,7922,229737,16570,20810,342159,9689,11991,221205,-1331,-152,91174,-23206,-9374,118980,-3283,-3723,104362,543,889,14577,-2572,-2532,53636,-8721,-1183
90955,"GONG RÁDIÓ Információs, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",38920,2824,3256,,,,,,,64143,8027,8509,86315,5322,4923,87200,9114,10437,105769,32453,39794,128068,30959,34768,141849,31088,37493,134961,25182,31835,154723,32633,40023,125912,7912,8663
90964,"G-PUBLISHING Lapkiadó, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság",,,,,,,,,,,,,,,,,,,117619,-187062,-186372,,,,,,,,,,,,,,,
97348,Gulipán 93 Kereskedelmi és Szolgáltató Betéti Társaság,,,,,,,,,,53457,-327,-338,11284,-2536,-2537,610,-3795,-3795,0,3534,3532,0,-1027,-1027,0,-115,-115,0,1609,-3160,541,495,636,421,-457,483
199027,Győri Innovációs és Marketing Centrum Kft.,33899,34110,774,35131,88986,4943,73763,62281,29173,35251,167787,-2543,31690,113188,-13917,73793,110596,22307,25646,159178,-9954,64755,29354,-14183,45552,75272,-12922,41404,8269,-40618,122695,9963,43869,,,
199028,H + P Szuperinfó Hirdetésszervező és Szolgáltató Korlátolt Felelősségű Társaság,25218,572,665,24118,630,744,26921,120,148,44594,103,114,35001,-2623,-2630,51688,-475,-488,32949,-4188,-4188,0,0,0,0,0,0,,,,,,,,,
91029,Hálózatos Televíziók Rt.,,,,0,-393,-526,0,-254,-1086,0,-11234,-11570,67100,9211,-4009,189646,-23092,-42967,308055,23420,-1013,368844,1801,-18516,574135,14234,-8472,479564,4587,-25398,535091,5849,-24322,535402,2440,23115
91040,Haszon Lapkiadó Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,91122,42190,-108904,222554,-50213,-50328,220100,20643,-34006,250397,-8286,-8216,287841,14801,16741,352625,18049,16213,338721,4196,2449
91051,Hearst Sanoma Budapest Kiadói Korlátolt Felelősségű Társaság,,,,633249,41319,53573,672642,-15481,-9152,975361,33762,41390,1152320,116573,135153,1183563,103179,119911,1146520,57765,62266,1099139,80423,95309,1109343,102315,116808,1239907,104053,119556,1191483,87513,108531,866296,-74368,-68781
97854,Helikon Infó Informatikai és Szolgáltató Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,122455,16616,17405,183629,23634,27060,195280,36026,44042,149436,10122,12770
199029,Heti Szó Plusz Kiadó és Szolgáltató Betéti Társaság,25171,-125,745,25965,190,182,,,,38854,800,794,44678,1133,995,50090,-476,-476,31780,96,95,17210,785,782,13990,637,756,7503,-2173,-1989,2097,1206,1508,35045,12514,14247
91084,Heti Válasz Lap- és Könyvkiadó Szolgáltató Korlátolt Felelősségű Társaság,,,,,,,,,,,,,307563,68814,75342,354237,-66967,-67131,221055,-170486,-163259,449368,-123470,-108141,637982,-35548,-23960,769980,30069,48481,850840,19732,39360,857931,18577,17127
93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,3116151,529317,,3760100,738507,628265,,,,4343712,783073,717923,4266117,2633580,639712,4588632,1425766,789128,4518742,1174933,737310,4444435,988432,773129,4463251,619783,641479,4546190,611430,626145,4312501,363153,337138,3035957,62111,-170412
