Médium ID,Médium márkaneve,Médiatípus,Hír=1; nem hír=0
31331,Heves megyei hírlap,sajtó,1
31340,Hídlap,sajtó,0
31435,Hot!,sajtó,0
31468,HVG (lapcsoport),sajtó,1
31502,Ingatlan plusz ...,sajtó,0
31507,InStyle,sajtó,0
31512,Interpress magazin,sajtó,0
31516,Ínyenc,sajtó,0
31517,Irányár,sajtó,0
31587,Jó tanács,sajtó,0
31589,Jó vicc,sajtó,0
31609,Joy,sajtó,0
31641,Kapos extra,sajtó,0
31700,Kelet-Magyarország,sajtó,1
31706,Képes sport,sajtó,0
31737,Kétheti Rtv műsor magazin,sajtó,0
31751,Kisalföld (lapcsoport),sajtó,1
31769,Kiskegyed (lapcsoport),sajtó,0
31779,Kismama,sajtó,0
31808,Komárom-Esztergom megyei 24 óra,sajtó,1
31824,Kópé,sajtó,0
31906,Kritika,sajtó,1
31933,Lakáskultúra,sajtó,0
31941,Presztízs top 100,sajtó,1
31947,Látkép,sajtó,0
31948,Látkép extra,sajtó,0
31990,Litéri hírmondó ,sajtó,1
32011,Luxury Budapest,sajtó,0
32012,Luxury ingatlan,sajtó,0
32053,Magyar hírlap,sajtó,1
32071,Magyar narancs,sajtó,1
32073,Magyar nemzet,sajtó,1
32107,Mai belváros ,sajtó,1
32117,Manager magazin,sajtó,0
32123,Marie Claire,sajtó,0
32164,Meglepetés (lapcsoport),sajtó,0
32180,Mérnök újság,sajtó,0
32182,Mert magazin ,sajtó,0
32211,Miskolci napló (MiNap),sajtó,1
32214,Moha,sajtó,0
32226,Minimax magazin,sajtó,0
32231,Miskolc info,sajtó,1
32243,Miskolc szuperinfó,sajtó,0
32247,MM műszaki magazin,sajtó,0
32272,Motorrevü,sajtó,0
32314,Műértő,sajtó,0
32345,Színes ász (Napi ász),sajtó,1
32346,Magyar idők (Napi gazdaság),sajtó,1
32348,Napló,sajtó,1
32353,National geographic Magyarország,sajtó,0
32366,Nemzeti sport (lapcsoport),sajtó,0
32379,Népszava,sajtó,1
32397,Nógrád megyei hírlap,sajtó,1
32409,Nők lapja (lapcsoport),sajtó,0
32439,Nyíregyházi napló (1218-1080),sajtó,1
32452,Óbuda ,sajtó,1
32460,Campus plusz,sajtó,0
32503,Óvodai nevelés,sajtó,0
32588,Pécsi hírek,sajtó,1
32623,Petőfi népe,sajtó,1
32627,Piac & Profit,sajtó,0
32645,Playboy,sajtó,0
32708,Prémium autó plusz,sajtó,0
32785,Rejtvény terefere (lapcsoport),sajtó,0
32827,Sárga rtv,sajtó,0
32851,Shape,sajtó,0
32895,Somogyi hírlap,sajtó,1
32935,Story,sajtó,0
32959,Szabad föld,sajtó,1
32984,"Számvitel, adó, könyvvizsgálat",sajtó,0
33013,Szegedi tükör,sajtó,1
33071,Színes kéthetes,sajtó,0
33072,Színes rtv,sajtó,0
33160,Társadalombiztosítás ...,sajtó,0
33228,Tina konyha,sajtó,0
33253,Tolnai népújság (0865-9028),sajtó,1
33297,TV kéthetes,sajtó,0
33300,Tv revü,sajtó,0
33301,TVR újság,sajtó,0
33302,Tvr-hét,sajtó,0
33314,Új Dunántúli napló,sajtó,1
33340,Új Néplap,sajtó,1
33344,Újbuda ,sajtó,1
33349,Újpesti napló,sajtó,1
33366,Ügyes (lapcsoport),sajtó,0
33382,Üzleti 6,sajtó,1
33405,Életképek (Városházi napló) (2062-6770),sajtó,1
33417,Vas népe,sajtó,1
33427,Vasárnapi hírek,sajtó,1
33477,Veszprémi 7 nap,sajtó,1
33493,Vidék íze,sajtó,0
33499,Világgazdaság,sajtó,0
33513,Vital magazin,sajtó,0
33515,Vitorlázás magazin,sajtó,0
33536,Wellness,sajtó,0
33543,XIII. kerületi hírnök ,sajtó,1
33546,Yacht magazin,sajtó,0
33560,Zalai hírlap,sajtó,1
33570,Zemplén szuperinfó,sajtó,0
33591,Zsaru,sajtó,0
33636,Szuperinfó (lapcsoport) ,sajtó,0
33835,Szeged infó (Délmagyarország programpont) ,sajtó,0
33852,Béres egészség,sajtó,0
33894,Exclusive Playboy,sajtó,0
33905,Pecavilág,sajtó,0
33923,Tv műsor.hu (Geomatikai közlemények),sajtó,0
33941,Gyöngyösi újság (Gyöngyösi mozaik),sajtó,1
34188,Mercedes-Benz magazin,sajtó,0
34353,Portfolio ingatlan magazin (Resource),sajtó,0
34592,VG kiadványok (Népszabadság Top-kiadványok),sajtó,0
34597,Grátisz (lapcsoport),sajtó,0
34623,Bor & pálinka plusz,sajtó,0
34673,"Top 50, 100 (lapcsoport)",sajtó,0
34831,Eszes (lapcsoport),sajtó,0
34874,Jászapáti hírmondó,sajtó,1
34972,Szajoli krónika,sajtó,1
35099,Otthonok & megoldások,sajtó,0
35136,Pszichológia,sajtó,0
35182,E.ON világ ,sajtó,0
35249,Korzó magazin ,sajtó,0
35632,Hajdúszoboszló szuperinfó,sajtó,1
35672,Maraton Lapcsoport (lapcsoport) ,sajtó,0
35688,Fenntartható fejlődés plusz,sajtó,0
35705,Alibi,sajtó,0
35706,Képes TV műsor,sajtó,0
35707,Aréna magazin,sajtó,0
35710,Gáz.áram ,sajtó,0
35711,Fine restaurants,sajtó,0
35753,Debreceni korzó ,sajtó,0
35780,Heti tv újság,sajtó,0
35799,Mobileum ,sajtó,0
35964,Lilla ,sajtó,0
35965,Lakás és kert (Otthon és kert) ,sajtó,0
35968,Győr+ hetilap,sajtó,1
35972,Gasztro magazin ,sajtó,0
35973,Diploma …,sajtó,0
36008,Könyvvizsgálók lapja,sajtó,0
36030,A mi Tatabányánk,sajtó,1
36051,Jövő,sajtó,0
36084,Vasárnap reggel (lapcsoport) ,sajtó,1
36106,Business,sajtó,0
36140,Kölyökkalauz ,sajtó,0
36168,Rejtvény magazin ,sajtó,0
36209,Debreceni szuperinfó ,sajtó,0
36222,Hajdúsági szuperinfó ,sajtó,0
36273,Szeged körzeti szuperinfó,sajtó,0
36310,Vásárhely infó (Csongrád megyei infó. Vásárhelyi kiadás),sajtó,0
36311,Szentes-Csongrád infó,sajtó,0
36312,Makó infó,sajtó,0
36459,Men's health,sajtó,0
36513,Panoráma 3. évezred,sajtó,0
36540,Zöld & fehér,sajtó,0
36586,Active beauty ,sajtó,0
36598,Asztrológiai előrejelzés,sajtó,0
36648,Nyugat-balatoni szuperinfó,sajtó,0
36675,Siófoki szuperinfó,sajtó,0
36691,Zalaegerszegi 7 nap,sajtó,1
36728,Várpalotai hírek,sajtó,1
36900,Sör plusz,sajtó,0
36987,Vác és vonzáskörzete szuperinfó,sajtó,0
36989,Szabolcs-Szatmár-Bereg megyei szuperinfó ,sajtó,0
36998,Menedzser,sajtó,0
37031,Pontyvilág,sajtó,0
37036,Régiópress ,sajtó,0
37042,Forma-1,sajtó,0
37087,NAKlap,sajtó,0
37125,Bor & utazás plusz,sajtó,0
37130,Heti tv magazin ,sajtó,0
37160,Édes élet magazin,sajtó,0
37161,Forbes (lapcsoport),sajtó,1
37170,Smartphone & IT plusz,sajtó,0
37205,A lap ,sajtó,0
37235,Északipart,sajtó,0
37241,49 követendő példa a sikerre,sajtó,0
37258,Házipatika.com magazin,sajtó,0
37259,"Képben, szóban ",sajtó,0
37260,Ilyen volt,sajtó,0
37282,Új magyar bazár,sajtó,0
37285,Sport and life,sajtó,0
37297,Mr. & Mrs. esküvői magazin ,sajtó,0
37298,You & Me esküvői magazin,sajtó,0
37301,Test & lélek,sajtó,0
37372,Újpesti találkozások,sajtó,1
37382,Okos otthon plusz ,sajtó,0
37384,Runner's world,sajtó,0
37393,Kecskemét szuperinfó,sajtó,0
37408,Innivaló kávé & csoki plusz,sajtó,0
37451,Smart business ,sajtó,0
37465,Megainfó vidékjáró magazin ,sajtó,0
37489,Ház magazin ,sajtó,0
37572,Újváros,sajtó,1
37611,Rába magazin ,sajtó,0
37660,Jobline.hu női karriernap magazin ,sajtó,0
37689,A nő ,sajtó,0
37799,Fordulópontok,sajtó,1
37909,Gasztro & utazás ,sajtó,0
37910,Bors extra,sajtó,1
37952,"Szépség-, és egészségtár",sajtó,0
37982,Journal,sajtó,0
37983,Home & garden,sajtó,0
38003,Lokál extra (lapcsoport),sajtó,1
38007,Hello! ,sajtó,0
38009,IPM rejtvény (IPM extra rejtvény) ,sajtó,0
38019,EKÁER a gyakorlatban,sajtó,0
38021,NAV infó ,sajtó,0
38111,K1,sajtó,0
38112,Számvitel és adó ...,sajtó,0
38115,Nyíregyházi napozó,sajtó,1
38122,Családi lapozó (Familinfó) ,sajtó,0
38132,Sportfogadás+ ,sajtó,0
38136,Fitt Veszprém ,sajtó,0
38148,&u magazine,sajtó,0
38160,Kis kobold,sajtó,0
38161,Győrvidék,sajtó,1
38166,Takarék családi magazin,sajtó,0
38186,Középiskola,sajtó,0
38224,Hévízi forrás,sajtó,1
38225,Regényújság ,sajtó,0
38226,Szabadidő magazin ,sajtó,0
38234,Vágy és végzet ,sajtó,0
38235,Hétvégi magazin ,sajtó,0
38236,Műsorújság ,sajtó,0
38259,Hotelier international,sajtó,0
38321,Real estate review,sajtó,0
38322,Szombathelyi 7 nap,sajtó,1
38341,Kelet-Nógrád ,sajtó,1
38352,A 25 legsikeresebb debreceni üzletember (2416-2795 ),sajtó,0
38353,Otthon magazin ,sajtó,0
38362,Családinfó ,sajtó,0
38367,Autó magazin ,sajtó,0
38417,Csúcskézi,sajtó,0
38438,Pápai hírlap ,sajtó,1
38457,Neked szól ,sajtó,0
38462,Pont ,sajtó,0
38467,Erőforrás térkép ,sajtó,0
38484,Sün Barnabás (lapcsoport),sajtó,0
38505,Lokál (lapcsoport) ,sajtó,1
38534,Kontúr (lapcsoport),sajtó,0
38603,Adóellenőrzés a gyakorlatban ,sajtó,0
38624,Esküvő magazin ,sajtó,0
38626,Apa magazin,sajtó,0
38676,Grabo cégtükör ,sajtó,0
38693,Ripost,sajtó,1
38717,Rejtvény tipp ,sajtó,0
38723,7próba skandi,sajtó,0
38725,7próba rejtvénymagazin ,sajtó,0
38730,Pulykatrend ,sajtó,0
38736,BÉT50,sajtó,0
38784,Forintos ,sajtó,0
38867,13 nap műsorfüzet ,sajtó,0
38889,Új Főnix Terv ,sajtó,0
38966,Népsport,sajtó,0
38971,Mind meg ette,sajtó,0
38974,Havi kópé,sajtó,0
39012,Hírös vidéki infó,sajtó,0
39015,"Kata, kiva, eva a gyakorlatban",sajtó,0
39062,Jól vagyok,sajtó,0
39063,Otthon vagyok,sajtó,0
39109,Előretolt helyőrség,sajtó,0
39110,Nemzetközi ügyletek áfája,sajtó,0
39111,VG kiadványok,sajtó,0
39116,Event magazin (Rendezvény),sajtó,0
39224,AgráriumPress,sajtó,0
39250,Pótkerék,sajtó,0
50001,168ora.hu,internet,1
50002,24ora.hu,internet,1
50005,50plusz.hu,internet,0
50018,adozona.hu,internet,0
50026,alompar.hu,internet,0
50039,astronet.hu,internet,0
50040,atv.hu,internet,1
50049,automotor.hu,internet,0
50050,autonavigator.hu,internet,0
50051,autopro.hu,internet,0
50058,babaszoba.hu,internet,0
50061,bama.hu,internet,1
50063,baon.hu,internet,1
50070,beol.hu,internet,1
50083,blikk.hu,internet,1
50084,blog.hu,internet,0
50090,bmhirlap.hu,internet,1
50094,boon.hu,internet,1
50098,borsonline.hu,internet,1
50107,cgr.hu,internet,0
50111,citromail.hu,internet,0
50116,commune.hu,internet,0
50119,cosmopolitan.hu,internet,0
50122,cvonline.hu,internet,0
50134,dehir.hu,internet,1
50135,deliapro.hu,internet,0
50136,delmagyar.hu,internet,1
50139,duol.hu (dh-online.hu),internet,1
50153,dunantulinaplo.hu,internet,1
50157,echotv.hu,internet,1
50159,edenkert.hu,internet,0
50160,eduline.hu,internet,0
50164,egeszsegkalauz.hu,internet,0
50166,harpercollins.hu (eharlequin.hu),internet,0
50169,ellemagazin.hu (elle.hu),internet,0
50172,eoldal.hu,internet,0
50180,eszak.hu,internet,1
50182,evamagazin.hu,internet,0
50210,feol.hu (fmh.hu),internet,1
50217,forum.index.hu,internet,0
50224,freemail.hu,internet,0
50241,geographic.hu,internet,0
50243,glamour.hu (glamouronline.hu),internet,0
50249,gphirek.hu,internet,0
50251,gportal.hu,internet,0
50256,gyaszhir.hu,internet,0
50270,haon.hu,internet,1
50282,haziallat.hu,internet,0
50284,hazipatika.com,internet,0
50288,heol.hu,internet,1
50289,valasz.hu (hetivalasz.hu),internet,1
50291,hevesmegyeihirlap.hu,internet,1
50296,24.hu (hir24.hu),internet,1
50298,hirado.hu,internet,1
50307,hirstart.hu,internet,1
50309,hirtv.hu,internet,1
50317,hotdog.hu,internet,0
50325,hvg.hu,internet,1
50333,inda.hu,internet,0
50335,indafoto.hu,internet,0
50336,indamail.hu,internet,0
50339,indavideo.hu,internet,0
50340,index.hu,internet,1
50341,inforadio.hu,internet,1
50347,ingatlanbazar.hu,internet,0
50360,istenhozta.hu,internet,0
50369,jobline.hu,internet,0
50370,jobmonitor.hu,internet,0
50375,joy.hu,internet,0
50387,kelet.hu,internet,1
50390,kemma.hu,internet,1
50397,kisalfold.hu,internet,1
50398,kiskegyed.hu,internet,0
50403,klubradio.hu,internet,1
